,block_id,gadm_code,country_code,block_area,building_area,building_count,building_layers,k_complexity
271,GAB.1.1_1_271,GAB.1.1_1,GAB,799267.28,0.0,0,0,1
272,GAB.1.1_1_272,GAB.1.1_1,GAB,46643.69,0.0,0,0,1
273,GAB.1.1_1_273,GAB.1.1_1,GAB,198826.1,0.0,0,0,1
274,GAB.1.1_1_274,GAB.1.1_1,GAB,48138.12,0.0,2,2,1
275,GAB.1.1_1_275,GAB.1.1_1,GAB,24176.75,0.0,0,0,1
276,GAB.1.1_1_276,GAB.1.1_1,GAB,10908387.97,0.0,29,"10,16,3",3
277,GAB.1.1_1_277,GAB.1.1_1,GAB,311.0,0.0,0,0,1
278,GAB.1.1_1_278,GAB.1.1_1,GAB,4431218.0,0.0,0,0,1
279,GAB.1.1_1_279,GAB.1.1_1,GAB,2238963.12,0.0,0,0,1
280,GAB.1.1_1_280,GAB.1.1_1,GAB,4680147.69,0.0,0,0,1
281,GAB.1.1_1_281,GAB.1.1_1,GAB,242005.56,0.0,0,0,1
282,GAB.1.1_1_282,GAB.1.1_1,GAB,123.01,0.0,0,0,1
283,GAB.1.1_1_283,GAB.1.1_1,GAB,16740.09,0.0,0,0,1
284,GAB.1.1_1_284,GAB.1.1_1,GAB,251012.64,0.0,0,0,1
285,GAB.1.1_1_285,GAB.1.1_1,GAB,2671996.28,0.0,0,0,1
286,GAB.1.1_1_286,GAB.1.1_1,GAB,735869.19,0.0,0,0,1
287,GAB.1.1_1_287,GAB.1.1_1,GAB,6879555.65,0.0,0,0,1
288,GAB.1.1_1_288,GAB.1.1_1,GAB,2242064.81,0.0,0,0,1
289,GAB.1.1_1_289,GAB.1.1_1,GAB,2639779.4,0.0,0,0,1
290,GAB.1.1_1_290,GAB.1.1_1,GAB,1133895.78,0.0,0,0,1
291,GAB.1.1_1_291,GAB.1.1_1,GAB,3072.27,0.0,0,0,1
292,GAB.1.1_1_292,GAB.1.1_1,GAB,4172.33,0.0,0,0,1
293,GAB.1.1_1_293,GAB.1.1_1,GAB,850.94,0.0,0,0,1
294,GAB.1.1_1_294,GAB.1.1_1,GAB,1158.14,0.0,0,0,1
295,GAB.1.1_1_295,GAB.1.1_1,GAB,1584.1,0.0,0,0,1
296,GAB.1.1_1_296,GAB.1.1_1,GAB,74739.3,0.0,0,0,1
